geneId	geneSymbol	DSI	DPI	PLI	protein_class_name	protein_class	NofDiseases	NofPmids
       35	ACADS	0.663	0.538	2.8026e-06			  56	   71
       36	ACADSB	0.691	0.5	2.6565e-11			  32	   13
       37	ACADVL	0.653	0.654	4.2385e-15	Enzyme	DTO_05007624	  87	  102
       38	ACAT1	0.538	0.692	9.8525e-08	Enzyme	DTO_05007624	 176	  130
       39	ACAT2	0.686	0.462	5.5303e-07	Enzyme	DTO_05007624	  35	   22
       40	ASIC2	0.653	0.538	0.99912	Ion channel	DTO_01300327	  50	   39
       41	ASIC1	0.653	0.615	0.93017	Ion channel	DTO_01300327	  52	   39
       43	ACHE	0.445	0.885	0.99827	Enzyme	DTO_05007624	 418	  850
       46	ACLS	0.931	0.154				   4	    4
       47	ACLY	0.563	0.692	0.083556	Enzyme	DTO_05007624	 109	  126
       48	ACO1	0.628	0.577	3.8322e-18	Enzyme	DTO_05007624	  53	   42
       49	ACR	0.493	0.846	0.012215	Enzyme	DTO_05007624	 230	  326
       50	ACO2	0.619	0.654	0.20791	Enzyme	DTO_05007624	  74	   37
       51	ACOX1	0.61	0.731	0.062095	Enzyme	DTO_05007624	  95	   39
       52	ACP1	0.566	0.731	1.7531e-08			 107	   99
       53	ACP2	0.78	0.346	6.2383e-05	Enzyme	DTO_05007624	  16	    8
       54	ACP5	0.561	0.731	0.078651			 130	   66
       55	ACP3	0.525	0.731	2.5463e-16	Enzyme	DTO_05007624	 151	  158
       56	ACRV1	1	0.077	1.2111e-06			   1	    1
       58	ACTA1	0.54	0.769	1.1385e-06	Cellular structure	DTO_05007530	 217	  109
       59	ACTA2	0.508	0.846	0.93017	Cellular structure	DTO_05007530	 200	  138
       60	ACTB	0.325	0.923	0.98564	Cellular structure	DTO_05007530	1110	 2413
       62	ACTBP2	0.861	0.077				   5	    2
       70	ACTC1	0.61	0.538	0.73668	Cellular structure	DTO_05007530	  69	   72
       71	ACTG1	0.477	0.846	0.0047837	Cellular structure	DTO_05007530	 291	  227
       72	ACTG2	0.505	0.808	0.071036	Cellular structure	DTO_05007530	 205	  178
       81	ACTN4	0.508	0.808	1			 166	  182
       86	ACTL6A	0.678	0.346	0.99665	Cellular structure	DTO_05007530	  46	   15
       87	ACTN1	0.695	0.577	0.99997			  34	   33
       88	ACTN2	0.686	0.462	0.99968			  35	   20
       89	ACTN3	0.663	0.5				  41	   41
       90	ACVR1	0.535	0.731	0.3254	Kinase	DTO_03300101	 144	  171
       91	ACVR1B	0.663	0.385	0.99969	Kinase	DTO_03300101	  41	   30
       92	ACVR2A	0.636	0.615	0.99972	Kinase	DTO_03300101	  62	   49
       93	ACVR2B	0.601	0.615	0.83412	Kinase	DTO_03300101	  70	   40
       94	ACVRL1	0.493	0.769	0.00096719	Kinase	DTO_03300101	 224	  279
       95	ACY1	0.653	0.577	6.9169e-09			  62	   21
       98	ACYP2	0.659	0.577	6.5331e-05	Enzyme	DTO_05007624	  42	   25
      100	ADA	0.44	0.885	2.8825e-12	Enzyme	DTO_05007624	 379	  560
      101	ADAM8	0.59	0.731	2.1983e-14	Enzyme	DTO_05007624	  81	   49
      102	ADAM10	0.489	0.846	1			 224	  271
      103	ADAR	0.501	0.808	0.026282	Enzyme	DTO_05007624	 256	  191
      104	ADARB1	0.588	0.654	0.80347	Enzyme	DTO_05007624	  85	   65
      105	ADARB2	0.716	0.308	0.85603	Enzyme	DTO_05007624	  33	   17
      106	ADCP1	0.89	0.154				   3	    1
      107	ADCY1	0.659	0.462	0.99747			  42	   20
      108	ADCY2	0.695	0.308	0.99898			  30	   23
      109	ADCY3	0.678	0.615	1.9545e-11			  47	   44
      111	ADCY5	0.617	0.577	0.99928			 103	   87
      112	ADCY6	0.729	0.5	0.0058268			  28	   18
      113	ADCY7	0.656	0.462	9.4815e-07			  38	   16
      114	ADCY8	0.705	0.577	1.7766e-06			  29	   19
      115	ADCY9	0.682	0.538	0.97943			  47	   39
      116	ADCYAP1	0.51	0.846	0.52424	Signaling	DTO_05007599	 220	  198
      117	ADCYAP1R1	0.561	0.769	7.2275e-10	G-protein coupled receptor	DTO_02300001	 118	   96
      118	ADD1	0.612	0.615	0.9883	Cellular structure	DTO_05007530	  67	  133
      119	ADD2	0.678	0.615	0.9961	Cellular structure	DTO_05007530	  29	   27
      120	ADD3	0.641	0.5	0.9988	Cellular structure	DTO_05007530	  54	   27
      123	PLIN2	0.564	0.692	7.5281e-09	Transporter	DTO_05007405	 100	   87
      124	ADH1A	0.647	0.577	1.7118e-11	Enzyme	DTO_05007624	  50	   44
      125	ADH1B	0.502	0.846	9.934e-07	Enzyme	DTO_05007624	 224	  360
      126	ADH1C	0.547	0.731		Enzyme	DTO_05007624	 146	  188
      127	ADH4	0.641	0.462	8.0684e-07	Enzyme	DTO_05007624	  53	   55
      128	ADH5	0.604	0.731	2.5356e-11	Enzyme	DTO_05007624	  65	   52
      130	ADH6	0.78	0.231	1.6373e-06	Enzyme	DTO_05007624	  15	   10
      131	ADH7	0.656	0.462	1.5123e-11	Enzyme	DTO_05007624	  42	   36
      132	ADK	0.584	0.769	0.00031276	Kinase	DTO_03300101	 102	   61
      133	ADM	0.436	0.808	0.040831	Signaling	DTO_05007599	 405	  420
      134	ADORA1	0.578	0.692	0.015215	G-protein coupled receptor	DTO_02300001	 121	   76
      135	ADORA2A	0.526	0.769	0.5971	G-protein coupled receptor	DTO_02300001	 213	  151
      136	ADORA2B	0.617	0.692	1.7674e-05	G-protein coupled receptor	DTO_02300001	  66	   44
      140	ADORA3	0.682	0.5	0.0001441	G-protein coupled receptor	DTO_02300001	  36	   25
      141	ADPRH	0.805	0.231	2.991e-06	Enzyme	DTO_05007624	  10	    9
      142	PARP1	0.389	0.923	0.00033366			 565	 1323
      143	PARP4	0.729	0.269	4.8204e-27			  24	   16
      146	ADRA1D	0.636	0.731	4.0117e-05	G-protein coupled receptor	DTO_02300001	  48	   43
      147	ADRA1B	0.686	0.5	0.13541	G-protein coupled receptor	DTO_02300001	  55	   18
      148	ADRA1A	0.462	0.846	3.3722e-07	G-protein coupled receptor	DTO_02300001	 294	  466
      150	ADRA2A	0.578	0.615	0.00081816	G-protein coupled receptor	DTO_02300001	 102	  105
      151	ADRA2B	0.465	0.846	4.4533e-06	G-protein coupled receptor	DTO_02300001	 296	  454
      152	ADRA2C	0.682	0.346	0.50159	G-protein coupled receptor	DTO_02300001	  40	   34
      153	ADRB1	0.555	0.769	2.8786e-06	G-protein coupled receptor	DTO_02300001	 130	  205
      154	ADRB2	0.442	0.923	0.52545	G-protein coupled receptor	DTO_02300001	 387	  662
      155	ADRB3	0.533	0.731	2.4637e-07	G-protein coupled receptor	DTO_02300001	 142	  212
      156	GRK2	0.532	0.654	0.99998	Kinase	DTO_03300101	 159	  152
      157	GRK3	0.621	0.731	0.71059	Kinase	DTO_03300101	  56	   32
      158	ADSL	0.631	0.654	8.9207e-12	Enzyme	DTO_05007624	  84	   46
      159	ADSS2	0.839	0.308	0.32971	Enzyme	DTO_05007624	  11	    6
      160	AP2A1	0.641	0.5	1	Receptor	DTO_05007575	  50	   40
      161	AP2A2	0.76	0.423	1	Receptor	DTO_05007575	  11	    6
      162	AP1B1	0.716	0.385	0.99828	Transporter	DTO_05007405	  23	    8
      163	AP2B1	0.711	0.423	0.9983	Transporter	DTO_05007405	  35	   21
      164	AP1G1	0.89	0.115	0.99998	Receptor	DTO_05007575	   7	    5
      165	AEBP1	0.631	0.654	7.3471e-11			  69	   23
      166	TLE5	0.695	0.538	0.93594	Transcription factor	DTO_05007542	  32	   29
      167	CRISP1	0.78	0.231	1.8344e-06	Immune response	DTO_05007608	  11	    6
      170	AFA	0.792	0.462				  12	   11
      172	AFG3L1P	0.931	0.115				   5	   10
      173	AFM	0.59	0.731	4.2654e-19	Transporter	DTO_05007405	  86	   63
      174	AFP	0.429	0.885	1.1383e-11	Transporter	DTO_05007405	 392	 1785
      175	AGA	0.57	0.808	4.2802e-06	Enzyme	DTO_05007624	 143	  118
      176	ACAN	0.528	0.846	1	Extracellular structure	DTO_05007621	 187	  297
      177	AGER	0.42	0.885	6.3528e-16	Receptor	DTO_05007575	 450	  757
      178	AGL	0.644	0.615	2.7564e-27	Enzyme	DTO_05007624	  59	  100
      181	AGRP	0.488	0.769	0.00069912	Signaling	DTO_05007599	 233	  372
      182	JAG1	0.429	0.808	1			 420	  592
      183	AGT	0.367	0.923	4.9706e-08	Enzyme modulator	DTO_05007584	 765	 2593
      185	AGTR1	0.423	0.846	0.00053161	G-protein coupled receptor	DTO_02300001	 440	  950
      186	AGTR2	0.496	0.808	0.0082345	G-protein coupled receptor	DTO_02300001	 229	  197
      187	APLNR	0.588	0.692	0.78907	G-protein coupled receptor	DTO_02300001	  94	  101
      189	AGXT	0.593	0.731	1.2332e-07	Enzyme	DTO_05007624	  94	  164
      190	NR0B1	0.494	0.808	0.97025	Nuclear receptor	DTO_00102000	 222	  448
      191	AHCY	0.582	0.692	0.035922	Enzyme	DTO_05007624	 107	   50
      192	AIC	0.729	0.462				  21	   13
      196	AHR	0.41	0.923	0.99999	Transcription factor	DTO_05007542	 532	  719
      197	AHSG	0.506	0.846	3.209e-10	Enzyme modulator	DTO_05007584	 204	  191
      199	AIF1	0.521	0.808	1.8793e-06	Calcium-binding protein	DTO_05007616	 166	  194
      202	CRYBG1	0.743	0.462	3.5143e-33			  22	   23
      203	AK1	0.711	0.5	0.027319	Kinase	DTO_03300101	  20	   22
      204	AK2	0.678	0.423	6.2706e-05	Kinase	DTO_03300101	  54	   10
      205	AK4	0.705	0.462	0.13353	Kinase	DTO_03300101	  27	   12
      207	AKT1	0.311	0.962	0.9759	Kinase	DTO_03300101	1250	 4604
      208	AKT2	0.474	0.769	0.64432	Kinase	DTO_03300101	 264	  348
      210	ALAD	0.556	0.615	5.6185e-05	Enzyme	DTO_05007624	 135	   69
      211	ALAS1	0.705	0.462	0.10979	Enzyme	DTO_05007624	  27	   32
      212	ALAS2	0.606	0.577	0.99586	Enzyme	DTO_05007624	  79	  104
      213	ALB	0.317	0.962	0.64329	Transporter	DTO_05007405	1198	 3347
      214	ALCAM	0.502	0.808	0.73267	Cell adhesion	DTO_05007620	 181	  150
      215	ABCD1	0.563	0.731	0.99896	Transporter	DTO_05007405	 154	  321
      216	ALDH1A1	0.46	0.846	0.95448	Enzyme	DTO_05007624	 270	  424
      217	ALDH2	0.457	0.885	3.3959e-10	Enzyme	DTO_05007624	 337	  677
      218	ALDH3A1	0.641	0.577	3.9013e-17			  53	   36
      219	ALDH1B1	0.691	0.462	2.6981e-06	Enzyme	DTO_05007624	  31	   21
      220	ALDH1A3	0.578	0.654	0.14128	Enzyme	DTO_05007624	  83	   69
      221	ALDH3B1	0.821	0.346	6.2437e-06			   6	    4
      222	ALDH3B2	1	0.077	3.1881e-13			   1	    1
      223	ALDH9A1	0.76	0.269	1.0995e-11	Enzyme	DTO_05007624	  17	    5
      224	ALDH3A2	0.619	0.769	9.4055e-06			  78	   77
      225	ABCD2	0.711	0.5	4.7079e-06	Transporter	DTO_05007405	  25	   46
      226	ALDOA	0.631	0.615	0.0013228			  61	   31
      229	ALDOB	0.623	0.538	7.8786e-07			  80	   64
      230	ALDOC	0.78	0.231	0.092245			  10	    5
      231	AKR1B1	0.491	0.885	2.0216e-05	Enzyme	DTO_05007624	 220	  382
      236	AKR1B1P2	1	0.154				   1	    3
      238	ALK	0.396	0.846	3.2299e-06	Kinase	DTO_03300101	 519	 2563
      239	ALOX12	0.558	0.692	1.4397e-15	Enzyme	DTO_05007624	 119	   97
      240	ALOX5	0.447	0.885	1.2059e-06	Enzyme	DTO_05007624	 342	  400
      241	ALOX5AP	0.612	0.731	0.070729	Enzyme	DTO_05007624	  76	  122
      242	ALOX12B	0.603	0.577	0.00075626	Enzyme	DTO_05007624	  80	   22
      243	ALOX12P1						   1	    1
      245	ALOX12P2	1	0.038				   2	    1
      246	ALOX15	0.502	0.846	1.1397e-23	Enzyme	DTO_05007624	 205	  207
      247	ALOX15B	0.663	0.462	1.4819e-18	Enzyme	DTO_05007624	  42	   33
      248	ALPI	0.563	0.769	2.4527e-18	Enzyme	DTO_05007624	  98	  106
      249	ALPL	0.546	0.769	0.0003636	Enzyme	DTO_05007624	 190	  232
      250	ALPP	0.487	0.808	1.8144e-13	Enzyme	DTO_05007624	 209	  244
      251	ALPG	0.691	0.269	1.4933e-11	Enzyme	DTO_05007624	  28	   23
      253	ALS3	0.839	0.231				   9	    9
      257	ALX3	0.578	0.692	0.019117			  91	   22
      258	AMBN	0.716	0.231	1.0497e-09	Cellular structure	DTO_05007530	  23	   21
      259	AMBP	0.537	0.731	2.7886e-13			 150	  140
      261	AMCN	0.682	0.615				  42	   41
      262	AMD1	0.593	0.577	0.98227	Enzyme	DTO_05007624	  84	  137
      263	AMD1P2	0.608	0.538				  71	  121
      265	AMELX	0.599	0.769	0.074507			  72	   82
      266	AMELY	0.743	0.269	8.3683e-05			  15	    6
      267	AMFR	0.599	0.692	5.8368e-05			  71	   47
      268	AMH	0.476	0.846	3.3974e-12			 242	  444
      269	AMHR2	0.638	0.423	2.7013e-10	Kinase	DTO_03300101	  52	   62
      270	AMPD1	0.573	0.692	1.9099e-21	Enzyme	DTO_05007624	 106	   77
      271	AMPD2	0.663	0.577	4.5084e-07	Enzyme	DTO_05007624	  60	   17
      272	AMPD3	0.743	0.385	1.1323e-12	Enzyme	DTO_05007624	  40	   27
      273	AMPH	0.653	0.462	1.7006e-05			  47	   39
      274	BIN1	0.55	0.692	0.77822			 163	  128
      275	AMT	0.674	0.692	0.0027214			  60	   53
      276	AMY1A	0.644	0.731	0.00032325			  65	   58
      277	AMY1B	0.647	0.731	0.00060271			  63	   56
      278	AMY1C	0.647	0.731	0.0033974			  63	   56
      279	AMY2A	0.716	0.423	8.5411e-12			  21	   14
      280	AMY2B	0.821	0.269	5.8844e-30			   9	    6
      282	ANCR	0.751	0.154				  16	    6
      283	ANG	0.511	0.769	0.28738			 185	  168
      284	ANGPT1	0.446	0.808	0.95208	Signaling	DTO_05007599	 340	  469
      285	ANGPT2	0.41	0.846	0.83208	Signaling	DTO_05007599	 457	  714
      286	ANK1	0.54	0.885	1			 166	  129
      287	ANK2	0.626	0.538	1			  71	   64
      288	ANK3	0.578	0.654	1			 106	  106
      289	ANOP1	0.89	0.154				   3	    2
      290	ANPEP	0.462	0.769	3.7492e-09	Enzyme	DTO_05007624	 280	  363
      291	SLC25A4	0.568	0.692	0.45334	Transporter	DTO_05007405	 160	   77
      292	SLC25A5	0.736	0.346	0.93194	Transporter	DTO_05007405	  29	   23
      293	SLC25A6	0.769	0.231	0.13859	Transporter	DTO_05007405	  19	   17
      301	ANXA1	0.442	0.885	1.2009e-07			 336	  355
      302	ANXA2	0.453	0.808	9.7728e-05			 294	  338
      304	ANXA2P2	1	0.077				   3	    1
      305	ANXA2P3	0.931	0.077				   2	    1
      306	ANXA3	0.61	0.615	6.5152e-12			  66	   46
      307	ANXA4	0.599	0.692	1.1858e-08			  74	   35
      308	ANXA5	0.458	0.769	3.7978e-15			 283	  367
      309	ANXA6	0.514	0.846	1.0804e-08			 156	  127
      310	ANXA7	0.631	0.615	8.5846e-10			  55	   42
      311	ANXA11	0.65	0.692	4.7001e-10			  57	   31
      312	ANXA13	0.722	0.538	4.2441e-10			  26	   21
      313	AOAH	0.722	0.462	4.3783e-14			  23	    9
      314	AOC2	0.674	0.654	3.2599e-15			  37	   23
      316	AOX1	0.716	0.308	1.171e-31	Enzyme	DTO_05007624	  26	   17
      317	APAF1	0.525	0.769	9.6242e-06			 145	  143
      318	NUDT2	0.78	0.154	0.0057495	Enzyme	DTO_05007624	  16	    4
      319	APOF	0.805	0.231	0.010295			   9	    6
      320	APBA1	0.743	0.346	0.53701	Transporter	DTO_05007405	  21	   31
      321	APBA2	0.7	0.385	0.74272	Transporter	DTO_05007405	  31	   31
      322	APBB1	0.722	0.346	0.96811			  25	   28
      323	APBB2	0.76	0.231	0.065197			  14	    9
      324	APC	0.373	0.962	1			 703	 2179
      325	APCS	0.531	0.808	0.031714			 141	  175
      326	AIRE	0.516	0.808	4.0468e-12			 175	  335
      327	APEH	0.666	0.577	5.0018e-13	Enzyme	DTO_05007624	  36	   28
      328	APEX1	0.458	0.846	1.9191e-07			 305	  422
      329	BIRC2	0.535	0.731	0.42708	Enzyme modulator	DTO_05007584	 125	  117
      330	BIRC3	0.491	0.769	0.065597	Enzyme modulator	DTO_05007584	 209	  248
      331	XIAP	0.447	0.808	0.91837	Enzyme modulator	DTO_05007584	 321	  495
      332	BIRC5	0.495	0.731	0.055854	Enzyme modulator	DTO_05007584	 199	  290
      333	APLP1	0.76	0.308	0.12235	Enzyme modulator	DTO_05007584	  17	   16
      334	APLP2	0.659	0.462	0.37966	Enzyme modulator	DTO_05007584	  44	   27
      335	APOA1	0.429	0.885	0.00054909			 416	  776
      336	APOA2	0.582	0.769	0.0448	Transporter	DTO_05007405	  77	   88
      337	APOA4	0.582	0.577	5.4536e-06			  88	   94
      338	APOB	0.453	0.808	1.9234e-16			 339	 1169
      339	APOBEC1	0.647	0.385	1.6791e-08	Enzyme	DTO_05007624	  45	   28
      341	APOC1	0.581	0.577	0.21685			  95	   84
      342	APOC1P1	0.89	0.154				   8	    6
      343	AQP8	0.638	0.615	0.00036707	Ion channel	DTO_01300327	  43	   26
      344	APOC2	0.606	0.577	0.40164			  68	  101
      345	APOC3	0.531	0.731	0.010024			 153	  305
      346	APOC4	0.743	0.385	8.893e-08			  25	   17
      347	APOD	0.584	0.577	0.00054449			  89	   61
      348	APOE	0.338	0.962	0.0018685			1049	 6805
      350	APOH	0.563	0.769	1.5614e-15			 121	  192
      351	APP	0.422	0.846	0.046544	Enzyme modulator	DTO_05007584	 485	 3674
      353	APRT	0.423	0.846	5.4539e-13			 384	  589
      354	KLK3	0.443	0.885	4.4271e-06	Enzyme	DTO_05007624	 358	 3069
      355	FAS	0.372	0.923	0.8117			 754	 1026
      356	FASLG	0.43	0.885	0.18345	Signaling	DTO_05007599	 398	  391
      357	SHROOM2	0.729	0.385	0.0029403			  21	    9
      358	AQP1	0.467	0.885	2.5697e-07	Ion channel	DTO_01300327	 268	  195
      359	AQP2	0.581	0.769	2.4855e-06	Ion channel	DTO_01300327	 114	  190
      360	AQP3	0.546	0.769	0.13398	Ion channel	DTO_01300327	 124	  111
      361	AQP4	0.456	0.885	0.0022919	Ion channel	DTO_01300327	 311	  639
      362	AQP5	0.552	0.769	0.053249	Ion channel	DTO_01300327	 119	  105
      363	AQP6	0.695	0.577	0.015875	Ion channel	DTO_01300327	  26	   21
      364	AQP7	0.67	0.462	4.0504e-16	Ion channel	DTO_01300327	  34	   39
      366	AQP9	0.565	0.808	0.24027	Ion channel	DTO_01300327	 100	   66
      367	AR	0.351	0.846	0.98837	Nuclear receptor	DTO_00102000	 854	 4657
      368	ABCC6	0.54	0.654	5.6167e-35	Transporter	DTO_05007405	 181	  221
      369	ARAF	0.619	0.654	0.96322	Kinase	DTO_03300101	  56	   43
      372	ARCN1	0.705	0.462	0.99997	Transporter	DTO_05007405	  39	    6
      373	TRIM23	0.716	0.308	0.0003937			  26	   18
      374	AREG	0.487	0.769	0.35407	Signaling	DTO_05007599	 221	  280
      375	ARF1	0.626	0.615	0.89967			  61	   26
      377	ARF3	0.751	0.385	0.35273			  18	   16
      378	ARF4	0.751	0.308	0.95992			  15	    7
      379	ARL4D	0.931	0.077	0.03757			   5	    4
      381	ARF5	1	0.077	0.94298			   1	    1
      382	ARF6	0.631	0.577	0.71536			  56	   68
      383	ARG1	0.476	0.846	0.00035944	Enzyme	DTO_05007624	 273	  309
      384	ARG2	0.569	0.731	0.00018207	Enzyme	DTO_05007624	 103	   80
      387	RHOA	0.502	0.808	0.60405	Enzyme modulator	DTO_05007584	 193	  201
      388	RHOB	0.653	0.423	0.12253	Enzyme modulator	DTO_05007584	  41	   35
      389	RHOC	0.641	0.308	0.76766	Enzyme modulator	DTO_05007584	  50	   58
      390	RND3	0.656	0.385	0.96682	Enzyme modulator	DTO_05007584	  46	   33
      391	RHOG	0.89	0.192	0.42952	Enzyme modulator	DTO_05007584	   6	    6
      392	ARHGAP1	0.638	0.577	0.76774			  48	   47
      393	ARHGAP4	0.736	0.5	0.97693	Enzyme modulator	DTO_05007584	  20	   15
      394	ARHGAP5	0.769	0.192	0.99862			  15	   10
      395	ARHGAP6	0.769	0.269	0.99845	Cellular structure	DTO_05007530	  17	    8
      396	ARHGDIA	0.663	0.577	0.03642	Enzyme modulator	DTO_05007584	  51	   32
      397	ARHGDIB	0.633	0.654	0.0006377	Enzyme modulator	DTO_05007584	  56	   45
      398	ARHGDIG	0.931	0.077	0.92154	Enzyme modulator	DTO_05007584	   2	    1
      399	RHOH	0.666	0.462	0.14861	Enzyme modulator	DTO_05007584	  42	   29
      400	ARL1	1	0.038	0.093716			   1	    1
      401	PHOX2A	0.7	0.346	0.49018			  30	   21
      402	ARL2	0.743	0.269	0.021417			  19	   13
      403	ARL3	0.603	0.615	0.0014071			  95	   17
      405	ARNT	0.575	0.692	0.99581	Transcription factor	DTO_05007542	 104	   97
      406	ARNTL	0.51	0.885	0.99444	Transcription factor	DTO_05007542	 200	  213
      407	ARR3	0.46	0.846	0.10401	Enzyme modulator	DTO_05007584	 279	  466
      408	ARRB1	0.588	0.846	0.99394	Enzyme modulator	DTO_05007584	  92	   70
      409	ARRB2	0.561	0.769	0.50658	Enzyme modulator	DTO_05007584	 119	   85
      410	ARSA	0.448	0.923	1.0893e-11	Enzyme	DTO_05007624	 376	  562
      411	ARSB	0.595	0.692	7.0009e-09			  96	  144
      412	STS	0.431	0.846	0.80886	Enzyme	DTO_05007624	 382	  488
      413	ARSC2	1	0.192				   1	    1
      414	ARSD	0.535	0.808	0.0016285	Enzyme	DTO_05007624	 163	  284
      415	ARSL	0.663	0.654	0.58982	Enzyme	DTO_05007624	  49	   34
      416	ARSF	0.663	0.615	3.1126e-14	Enzyme	DTO_05007624	  41	   28
      417	ART1	0.7	0.385	5.1026e-12			  27	   19
      419	ART3	0.839	0.192	5.1018e-15			  11	    9
      420	ART4	0.931	0.154	0.0015662			   4	    4
      421	ARVCF	0.54	0.769	5.0422e-11	Cellular structure	DTO_05007530	 151	   19
      424	ARVD3	0.792	0.192				   9	    6
      425	ARVD4	1	0.077				   1	    1
      427	ASAH1	0.526	0.808	1.2588e-12	Enzyme	DTO_05007624	 176	  137
      429	ASCL1	0.552	0.692	0.67692	Transcription factor	DTO_05007542	 136	  134
      430	ASCL2	0.691	0.423	0.34557	Transcription factor	DTO_05007542	  38	   33
      431	ASD1	0.861	0.154				   6	    3
      432	ASGR1	0.805	0.192	3.8718e-15	Receptor	DTO_05007575	  15	   13
      433	ASGR2			9.8145e-10	Receptor	DTO_05007575	   2	    2
      434	ASIP	0.584	0.692	0.016298	Signaling	DTO_05007599	  89	   77
      435	ASL	0.593	0.731	8.5727e-10	Enzyme	DTO_05007624	  99	  102
      438	ASMT	0.691	0.346	1.2722e-20			  27	   22
      439	GET3	1	0.038	0.94316	Enzyme	DTO_05007624	   1	    1
      440	ASNS	0.595	0.692	9.3611e-06	Enzyme	DTO_05007624	  90	   77
      443	ASPA	0.564	0.731	0.00041128			 123	  151
      444	ASPH	0.61	0.615	6.6268e-15			  69	   40
      445	ASS1	0.523	0.731	1.5095e-09	Enzyme	DTO_05007624	 163	  193
      460	ASTN1	0.736	0.308	0.99998			  24	   12
      462	SERPINC1	0.507	0.769	0.99892	Enzyme modulator	DTO_05007584	 184	  266
      463	ZFHX3	0.621	0.654	0.44753			  85	   92
      465	ATD	0.656	0.731				  36	   16
      466	ATF1	0.588	0.577	0.63426			  88	  108
      467	ATF3	0.494	0.885	0.089296	Transcription factor	DTO_05007542	 228	  210
      468	ATF4	0.507	0.769	0.015659			 178	  196
      470	ATHS	0.551	0.769				 112	  125
      471	ATIC	0.576	0.731	3.0109e-19	Enzyme	DTO_05007624	 100	   50
      472	ATM	0.374	0.885	5.5884e-47	Kinase	DTO_03300101	 684	 1907
      473	RERE	0.526	0.846	1			 215	   72
      474	ATOH1	0.633	0.5	0.017833	Enzyme	DTO_05007624	  53	   49
      475	ATOX1	0.656	0.5	0.58645			  40	   33
      476	ATP1A1	0.601	0.808	1	Transporter	DTO_05007405	  89	   54
      477	ATP1A2	0.597	0.615	0.00018093	Transporter	DTO_05007405	 102	  124
      478	ATP1A3	0.544	0.615	1	Transporter	DTO_05007405	 174	  132
      479	ATP12A	0.575	0.769	7.1254e-14	Transporter	DTO_05007405	 102	  120
      480	ATP1A4	0.805	0.269	2.1395e-20	Transporter	DTO_05007405	   8	    6
      481	ATP1B1	0.7	0.462	0.99881	Transporter	DTO_05007405	  34	   22
      482	ATP1B2	0.705	0.308	0.073684	Transporter	DTO_05007405	  28	   14
      483	ATP1B3	0.78	0.154	0.10244	Transporter	DTO_05007405	  14	    7
      486	FXYD2	0.78	0.346	0.11431	Transporter	DTO_05007405	  20	   15
      487	ATP2A1	0.682	0.423	1.5354e-14	Transporter	DTO_05007405	  46	   40
      488	ATP2A2	0.529	0.808	0.99945	Transporter	DTO_05007405	 159	  178
      489	ATP2A3	0.617	0.577	2.247e-09	Transporter	DTO_05007405	  61	   44
      490	ATP2B1	0.666	0.5	1	Transporter	DTO_05007405	  57	   71
      491	ATP2B2	0.659	0.731	1	Transporter	DTO_05007405	  51	   52
      492	ATP2B3	0.631	0.692	0.99945	Transporter	DTO_05007405	  72	   35
